id,cluster,questionTitle,primaryKeyword,slug,canonicalTarget,bodyCharCount,lastChecked
20,"Clash 客户端、订阅、兼容与常见问题","Clash Nyanpasu 与 Clash Meta 核心有什么关系？","Clash Meta内核差异","q20","/faq/q20/",1844,"2026-09-22"
21,"Clash 客户端、订阅、兼容与常见问题","Windows系统下Clash无法开启系统代理怎么解决？","Clash Windows代理排障","q21","/faq/q21/",1839,"2026-09-22"
22,"Clash 客户端、订阅、兼容与常见问题","macOS版本Clash TUN模式如何开启全局流量接管？","Clash macOS TUN模式设置","q22","/faq/q22/",1842,"2026-09-22"
23,"Clash 客户端、订阅、兼容与常见问题","Clash订阅更新失败提示“Request Failed”怎么排查？","Clash订阅更新失败解决","q23","/faq/q23/",1841,"2026-09-22"
24,"Clash 客户端、订阅、兼容与常见问题","Clash分流规则中的Direct、Proxy与REJECT分别代表什么？","Clash分流规则解释","q24","/faq/q24/",1842,"2026-09-22"
25,"Clash 客户端、订阅、兼容与常见问题","如何为Clash单独配置ChatGPT与Netflix规则分流？","Clash自定义分流规则","q25","/faq/q25/",1838,"2026-09-22"
26,"Clash 客户端、订阅、兼容与常见问题","Clash在Android手机上耗电过高如何优化设置？","Clash Android省电优化","q26","/faq/q26/",1838,"2026-09-22"
27,"Clash 客户端、订阅、兼容与常见问题","Clash节点的Ping延迟与实际网页加载速度是一回事吗？","Clash延迟与实际速度","q27","/faq/q27/",1835,"2026-09-22"
28,"Clash 客户端、订阅、兼容与常见问题","为什么Clash连接后本地局域网设备无法互通？","Clash局域网共享设置","q28","/faq/q28/",1829,"2026-09-22"
29,"Clash 客户端、订阅、兼容与常见问题","Sing-box 与 Clash 客户端订阅格式是否可以通用转换？","Clash Singbox订阅转换","q29","/faq/q29/",1844,"2026-09-22"
30,"Clash 客户端、订阅、兼容与常见问题","Clash配置文件损坏后如何重置还原默认设置？","Clash配置重置教程","q30","/faq/q30/",1828,"2026-09-22"
31,"Clash 客户端、订阅、兼容与常见问题","如何在Clash中开启DNS泄露防护与DoH功能？","Clash DNS防泄露配置","q31","/faq/q31/",1833,"2026-09-22"
32,"Clash 客户端、订阅、兼容与常见问题","Clash混合代理端口如何为第三方终端工具提供中转？","Clash终端代理端口设置","q32","/faq/q32/",1833,"2026-09-22"
33,"SS / Shadowsocks 协议、兼容与基础知识","SS (Shadowsocks) 协议的基本工作原理是什么？","Shadowsocks协议原理","q33","/faq/q33/",1839,"2026-09-22"
34,"SS / Shadowsocks 协议、兼容与基础知识","SS协议相比早期代理协议在隐蔽性上有何提升？","Shadowsocks安全加密特点","q34","/faq/q34/",1833,"2026-09-22"
35,"SS / Shadowsocks 协议、兼容与基础知识","Shadowsocks 2022 新标准增加了哪些安全防护？","Shadowsocks 2022协议更新","q35","/faq/q35/",1844,"2026-09-22"
36,"SS / Shadowsocks 协议、兼容与基础知识","Shadowrocket (小火箭) 如何手动添加SS节点参数？","Shadowrocket手动添加SS","q36","/faq/q36/",1844,"2026-09-22"
37,"SS / Shadowsocks 协议、兼容与基础知识","v2rayN 客户端导入 SS 协议订阅的完整步骤","v2rayN导入SS节点教程","q37","/faq/q37/",1833,"2026-09-22"
38,"SS / Shadowsocks 协议、兼容与基础知识","SS协议节点在移动网络环境下连接断开怎么办？","SS协议移动网络断连排障","q38","/faq/q38/",1828,"2026-09-22"
39,"SS / Shadowsocks 协议、兼容与基础知识","为什么部分机场逐渐减少经典SS协议节点支持？","SS协议机场支持现状","q39","/faq/q39/",1826,"2026-09-22"
40,"SS / Shadowsocks 协议、兼容与基础知识","Shadowsocks AEAD 加密算法(AEAD_AES_256_GCM)特点","AEAD加密算法解析","q40","/faq/q40/",1845,"2026-09-22"
41,"SS / Shadowsocks 协议、兼容与基础知识","SS协议节点是否支持UDP转发与语音游戏传输？","SS协议UDP转发支持","q41","/faq/q41/",1828,"2026-09-22"
42,"SS / Shadowsocks 协议、兼容与基础知识","如何检查SS协议节点是否存在端口被阻断现象？","SS节点端口阻断检测","q42","/faq/q42/",1826,"2026-09-22"
43,"Trojan 网络协议、客户端与常见问题","Trojan 代理协议的设计初衷与伪装机制是什么？","Trojan协议TLS伪装机制","q43","/faq/q43/",1834,"2026-09-22"
44,"Trojan 网络协议、客户端与常见问题","Trojan 协议与 VLESS / Shadowsocks 协议相比有何优劣？","Trojan与VLESS协议对比","q44","/faq/q44/",1850,"2026-09-22"
45,"Trojan 网络协议、客户端与常见问题","Trojan 节点为什么必须搭配域名与 Valid TLS 证书？","Trojan域名证书配置说明","q45","/faq/q45/",1841,"2026-09-22"
46,"Trojan 网络协议、客户端与常见问题","如何在 Clash 中启用 Trojan 协议节点的 multiplex 多路复用？","Trojan多路复用配置","q46","/faq/q46/",1848,"2026-09-22"
47,"Trojan 网络协议、客户端与常见问题","Trojan-Go 相比标准 Trojan 增加了哪些拓展功能？","Trojan-Go增强特性","q47","/faq/q47/",1839,"2026-09-22"
48,"Trojan 网络协议、客户端与常见问题","iOS端 Quantumult X 导入 Trojan 订阅的配置方法","QuanX导入Trojan教程","q48","/faq/q48/",1844,"2026-09-22"
49,"Trojan 网络协议、客户端与常见问题","Trojan 节点提示证书过期或不信任如何处理？","Trojan证书错误修复","q49","/faq/q49/",1830,"2026-09-22"
50,"Trojan 网络协议、客户端与常见问题","为什么 Trojan 协议节点在高延迟线路上表现依然平稳？","Trojan高延迟表现解析","q50","/faq/q50/",1836,"2026-09-22"
51,"Trojan 网络协议、客户端与常见问题","Trojan 协议是否适合搭建在自建个人VPS上？","Trojan自建与机场对比","q51","/faq/q51/",1832,"2026-09-22"
52,"Trojan 网络协议、客户端与常见问题","如何检测 Trojan 节点的真实 TLS 握手开销？","Trojan TLS握手性能检测","q52","/faq/q52/",1837,"2026-09-22"
53,"“梯子”口语搜索、服务选择与风险提示","新手口语常说的“科学上网梯子”本质上是指什么？","科学上网梯子定义解析","q53","/faq/q53/",1827,"2026-09-22"
54,"“梯子”口语搜索、服务选择与风险提示","挑选付费梯子服务时有哪些常见的营销避坑陷阱？","付费梯子避坑指南","q54","/faq/q54/",1824,"2026-09-22"
55,"“梯子”口语搜索、服务选择与风险提示","使用网络梯子服务时如何保护个人账户与数据隐私？","梯子安全与数据隐私保护","q55","/faq/q55/",1828,"2026-09-22"
56,"“梯子”口语搜索、服务选择与风险提示","免费公开的免费梯子节点为什么存在严重安全隐患？","免费梯子节点安全风险","q56","/faq/q56/",1827,"2026-09-22"
57,"“梯子”口语搜索、服务选择与风险提示","公共 Wi-Fi 环境下使用梯子节点需要开启哪些防护？","公共WiFi使用梯子防护","q57","/faq/q57/",1833,"2026-09-22"
58,"“梯子”口语搜索、服务选择与风险提示","梯子节点忽然全部显示“Timeout”无法连接怎么办？","梯子节点Timeout应急排障","q58","/faq/q58/",1836,"2026-09-22"
59,"“梯子”口语搜索、服务选择与风险提示","如何判断某个梯子服务商是否面临运营跑路风险？","梯子服务商风险评估","q59","/faq/q59/",1825,"2026-09-22"
60,"“梯子”口语搜索、服务选择与风险提示","跨境远程办公使用梯子节点的网络合规边界提醒","跨境办公梯子合规提醒","q60","/faq/q60/",1825,"2026-09-22"
61,"节点、地区、延迟、线路和倍率","香港节点(HK)、日本节点(JP)、新加坡节点(SG)怎么选？","热门节点地区选择推荐","q61","/faq/q61/",1835,"2026-09-22"
62,"节点、地区、延迟、线路和倍率","美国节点(US)与欧洲节点适合什么特殊业务场景？","欧美节点适用业务场景","q62","/faq/q62/",1828,"2026-09-22"
63,"节点、地区、延迟、线路和倍率","机场节点的“倍率”(如0.5x, 1x, 2x)代表什么意思？","机场节点倍率含义说明","q63","/faq/q63/",1835,"2026-09-22"
64,"节点、地区、延迟、线路和倍率","什么是BGP中转线路？与直连线路相比优势在哪？","BGP中转线路优势对比","q64","/faq/q64/",1828,"2026-09-22"
65,"节点、地区、延迟、线路和倍率","IPLC与IEPL专线节点为什么价格比普通节点略高？","IPLC和IEPL专线节点原理","q65","/faq/q65/",1835,"2026-09-22"
66,"节点、地区、延迟、线路和倍率","节点RTT延迟、ICMP延迟与HTTP响应延迟有什么区别？","节点延迟类型与含义","q66","/faq/q66/",1832,"2026-09-22"
67,"节点、地区、延迟、线路和倍率","为什么部分节点的Speedtest测速很高但实际视频卡顿？","测速高实际卡顿原因解析","q67","/faq/q67/",1834,"2026-09-22"
68,"节点、地区、延迟、线路和倍率","解锁流媒体时显示的“解锁地区限制”具体是如何实现的？","节点流媒体解锁原理","q68","/faq/q68/",1829,"2026-09-22"
69,"节点、地区、延迟、线路和倍率","机场后台显示的节点在线人数与负载状态怎么参考？","节点负载与在线人数参考","q69","/faq/q69/",1828,"2026-09-22"
70,"节点、地区、延迟、线路和倍率","为什么同一个机场不同节点切换时网页需要重新登录？","节点切换IP变动说明","q70","/faq/q70/",1828,"2026-09-22"
71,"节点、地区、延迟、线路和倍率","台湾节点(TW)在巴哈姆特与台服游戏加速中的应用","台湾节点游戏流媒体应用","q71","/faq/q71/",1829,"2026-09-22"
72,"节点、地区、延迟、线路和倍率","韩国节点(KR)适用的网页加速与游戏连接特点","韩国节点访问特点","q72","/faq/q72/",1824,"2026-09-22"
73,"节点、地区、延迟、线路和倍率","机场节点发生“节点跳IP”现象该怎么在客户端固定？","固定节点IP操作指南","q73","/faq/q73/",1829,"2026-09-22"
74,"节点、地区、延迟、线路和倍率","高倍率专线节点(如3x-5x)适合在什么情况下开启使用？","高倍率节点合理使用场景","q74","/faq/q74/",1833,"2026-09-22"
75,"套餐、价格、流量、付款周期和优惠码","机场套餐的“每月100GB”流量重置时间按什么计算？","机场套餐流量重置规则","q75","/faq/q75/",1830,"2026-09-22"
76,"套餐、价格、流量、付款周期和优惠码","如何正确在机场结算页面使用优惠码获得折扣？","机场优惠码填置使用教程","q76","/faq/q76/",1826,"2026-09-22"
77,"套餐、价格、流量、付款周期和优惠码","主推机场优惠码与结算折扣如何使用？","主推机场优惠码兑换指南","q77","/faq/q77/",1822,"2026-09-22"
78,"套餐、价格、流量、付款周期和优惠码","月付套餐、季付套餐与年付套餐综合性价比计算对比","机场套餐付款周期性价比","q78","/faq/q78/",1828,"2026-09-22"
79,"套餐、价格、流量、付款周期和优惠码","一次性不限时流量包与按月重置套餐哪个更划算？","不限时流量包与月付对比","q79","/faq/q79/",1827,"2026-09-22"
80,"套餐、价格、流量、付款周期和优惠码","机场退款政策通常包含哪些限制条件与审核要求？","机场退款政策须知","q80","/faq/q80/",1824,"2026-09-22"
81,"套餐、价格、流量、付款周期和优惠码","购买机场套餐时支持哪些主流安全支付结算方式？","机场安全支付结算说明","q81","/faq/q81/",1826,"2026-09-22"
82,"套餐、价格、流量、付款周期和优惠码","为什么极低价格(如每月几元)的机场跑路概率极高？","低价廉价机场风险分析","q82","/faq/q82/",1828,"2026-09-22"
83,"套餐、价格、流量、付款周期和优惠码","套餐到期后如果不续费后台订阅地址会立刻失效吗？","套餐到期订阅失效机制","q83","/faq/q83/",1827,"2026-09-22"
84,"套餐、价格、流量、付款周期和优惠码","升级更高档位套餐时原套餐剩余流量如何折算？","机场套餐补差价升级说明","q84","/faq/q84/",1826,"2026-09-22"
85,"多设备、订阅导入、客户端和系统兼容","一个机场订阅链接可以在几台设备上同时在线连接？","机场设备限制与同时在线","q85","/faq/q85/",1828,"2026-09-22"
86,"多设备、订阅导入、客户端和系统兼容","iPhone/iPad 上 Shadowrocket (小火箭) 快速添加订阅","iOS小火箭订阅导入教程","q86","/faq/q86/",1845,"2026-09-22"
87,"多设备、订阅导入、客户端和系统兼容","Android 手机推荐使用什么科学上网客户端？","Android科学上网客户端推荐","q87","/faq/q87/",1834,"2026-09-22"
88,"多设备、订阅导入、客户端和系统兼容","Sing-box 跨平台客户端通用配置文件编写基础","Sing-box通用配置基础","q88","/faq/q88/",1833,"2026-09-22"
89,"多设备、订阅导入、客户端和系统兼容","Windows/macOS 双系统用户如何同步机场订阅规则？","双系统订阅同步设置","q89","/faq/q89/",1833,"2026-09-22"
90,"多设备、订阅导入、客户端和系统兼容","订阅转换(Subconverter)工具在导入配置时的作用与风险","订阅转换工具使用风险提醒","q90","/faq/q90/",1838,"2026-09-22"
91,"多设备、订阅导入、客户端和系统兼容","软路由(OpenWrt/PassWall)如何拉取机场节点订阅？","OpenWrt软路由订阅配置","q91","/faq/q91/",1840,"2026-09-22"
92,"多设备、订阅导入、客户端和系统兼容","Apple TV 上的 Sing-box / Shadowrocket 如何接管电视流量？","Apple TV科学上网配置","q92","/faq/q92/",1853,"2026-09-22"
93,"故障排查、退款、隐私、安全与购买前须知","科学上网节点连通但无法打开任何网页的终极排障指南","节点连通无法上网排障","q93","/faq/q93/",1828,"2026-09-22"
94,"故障排查、退款、隐私、安全与购买前须知","系统时间不准确导致代理连接TLS证书校验失败处理","系统时间同步解决代理失败","q94","/faq/q94/",1830,"2026-09-22"
95,"故障排查、退款、隐私、安全与购买前须知","节点提示“Unauthorized”或者“401”身份验证失败办？","订阅401认证失败解决","q95","/faq/q95/",1838,"2026-09-22"
96,"故障排查、退款、隐私、安全与购买前须知","机场后台打不开、域名失效时如何获取最新官网入口？","机场最新官网入口获取","q96","/faq/q96/",1828,"2026-09-22"
97,"故障排查、退款、隐私、安全与购买前须知","使用节点访问谷歌提示需要频繁验证码(reCAPTCHA)解决","Google验证码频繁处理","q97","/faq/q97/",1837,"2026-09-22"
98,"故障排查、退款、隐私、安全与购买前须知","机场客服工单沟通与问题快速响应提交规范","机场售后售后沟通指南","q98","/faq/q98/",1823,"2026-09-22"
99,"故障排查、退款、隐私、安全与购买前须知","如何检测当前代理节点是否泄露你的真实DNS与IP地址？","真实IP与DNS泄露检测","q99","/faq/q99/",1833,"2026-09-22"
100,"故障排查、退款、隐私、安全与购买前须知","科学上网过程中误开杀毒软件防火墙导致的端口拦截排查","防火墙拦截代理端口排查","q100","/faq/q100/",1830,"2026-09-22"
